No,ID,Title,Theme,Geometry_Type,Year,Detail_URL
77,68a6d23756e8afeaaa42f612,Layanan atau Jasa,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d23756e8afeaaa42f612
78,68a69e6356e8afeaaa42b0a6,Rumah Sakit,Healthcare,Point,2025,https://mapid.co.id/data-catalog/detail/68a69e6356e8afeaaa42b0a6
79,68a695a656e8afeaaa42a46f,Pertanian dan Agroindustri,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a695a656e8afeaaa42a46f
80,68a6952456e8afeaaa42a461,Teknologi dan Informasi [Industri],Economy,Point,2023,https://mapid.co.id/data-catalog/detail/68a6952456e8afeaaa42a461
81,68a694aa8e7b033391e029f5,Pengolahan Limbah,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a694aa8e7b033391e029f5
82,68a6942456e8afeaaa42a448,Manufaktur,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a6942456e8afeaaa42a448
83,68a693a256e8afeaaa42a43f,Konstruksi [Industri],"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a693a256e8afeaaa42a43f
84,68a6932a8e7b033391e029cc,Industri Pangan,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a6932a8e7b033391e029cc
85,68a692b556e8afeaaa42a42b,Energi dan Utilitas,Economy,Point,2024,https://mapid.co.id/data-catalog/detail/68a692b556e8afeaaa42a42b
86,68a692318e7b033391e029b3,Industri,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a692318e7b033391e029b3
87,69d77bdb7752d83e23362872,Roti dan Kue,Food & Beverages,Point,2026,https://mapid.co.id/data-catalog/detail/69d77bdb7752d83e23362872
88,68a6d3bd8e7b033391e088c2,Bank,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d3bd8e7b033391e088c2
89,689d6abfbe001614bea81ff8,Pusat Perbelanjaan,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/689d6abfbe001614bea81ff8
90,68a6c9218e7b033391e063c8,Pasar,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a6c9218e7b033391e063c8
91,68a6d4fc8e7b033391e0898d,Kantor,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d4fc8e7b033391e0898d
92,68a6d33b56e8afeaaa42f683,ATM,Services,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d33b56e8afeaaa42f683
93,689ea5e17791c12ed76b0e56,Ibadah,Social,Point,2025,https://mapid.co.id/data-catalog/detail/689ea5e17791c12ed76b0e56
94,689d6b947791c12ed76a1827,Tempat Hiburan,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/689d6b947791c12ed76a1827
95,689ea6707791c12ed76b0eba,Buddha,Social,Point,2025,https://mapid.co.id/data-catalog/detail/689ea6707791c12ed76b0eba
96,689d6a23f666afe93787eeff,Museum,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/689d6a23f666afe93787eeff
97,689ea6d1be001614bea918f0,Hindu,Social,Point,2025,https://mapid.co.id/data-catalog/detail/689ea6d1be001614bea918f0
98,689d69997791c12ed76a1700,Bioskop,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/689d69997791c12ed76a1700
99,689ea731be001614bea91901,Islam,Social,Point,2025,https://mapid.co.id/data-catalog/detail/689ea731be001614bea91901
100,689ea838e4c67af9c38ad56e,Katolik,Social,Point,2025,https://mapid.co.id/data-catalog/detail/689ea838e4c67af9c38ad56e
101,689ea9337791c12ed76b1279,Konghuchu,Social,Point,2025,https://mapid.co.id/data-catalog/detail/689ea9337791c12ed76b1279
102,689d58adf666afe93787d511,Agen Perjalanan,Transportation,Point,2025,https://mapid.co.id/data-catalog/detail/689d58adf666afe93787d511
103,689ea9a4be001614bea91d4c,Protestan,Social,Point,2025,https://mapid.co.id/data-catalog/detail/689ea9a4be001614bea91d4c
104,68cccbccd95a77f0720b8911,Stadion,Sports,Point,2025,https://mapid.co.id/data-catalog/detail/68cccbccd95a77f0720b8911
105,689d5b6d8d0f776c612ed4db,Bandara,Transportation,Point,2024,https://mapid.co.id/data-catalog/detail/689d5b6d8d0f776c612ed4db
106,689d5bed7791c12ed769fd0e,Halte,Transportation,Point,2024,https://mapid.co.id/data-catalog/detail/689d5bed7791c12ed769fd0e
107,689d5c808d0f776c612ed6ab,Pelabuhan,Transportation,Point,2024,https://mapid.co.id/data-catalog/detail/689d5c808d0f776c612ed6ab
108,689d5d158d0f776c612ed6b9,Pengisian Bahan Bakar,Transportation,Point,2024,https://mapid.co.id/data-catalog/detail/689d5d158d0f776c612ed6b9
109,689d5dc4f666afe93787d79e,Pintu Tol,Transportation,Point,2024,https://mapid.co.id/data-catalog/detail/689d5dc4f666afe93787d79e
110,68ccd229d95a77f0720f888d,Wisata Budaya dan Sejarah,"Art, Entertainment, & Tourism",Point,2022,https://mapid.co.id/data-catalog/detail/68ccd229d95a77f0720f888d
111,68ccd127d95a77f0720ef275,Wisata Alam,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68ccd127d95a77f0720ef275
112,68ccd01ed95a77f0720e28c0,Pariwisata,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68ccd01ed95a77f0720e28c0
113,689d687ae4c67af9c389e70d,Hiburan dan Kesenian,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/689d687ae4c67af9c389e70d
114,68ccca2dd95a77f0720ab856,Pusat Kebugaran,Sports,Point,2025,https://mapid.co.id/data-catalog/detail/68ccca2dd95a77f0720ab856
115,68ccc8b7d95a77f07209e5f6,Kolam Renang,Sports,Point,2025,https://mapid.co.id/data-catalog/detail/68ccc8b7d95a77f07209e5f6
116,68ccc81ad95a77f07209ce1c,Bela Diri,Sports,Point,2022,https://mapid.co.id/data-catalog/detail/68ccc81ad95a77f07209ce1c
117,68cb8bd6d95a77f0727b337b,Arena/Lapangan,Sports,Point,2025,https://mapid.co.id/data-catalog/detail/68cb8bd6d95a77f0727b337b
118,68cb8a89d95a77f0727a4c97,Olahraga,Sports,Point,2025,https://mapid.co.id/data-catalog/detail/68cb8a89d95a77f0727a4c97
119,689d5e3d7791c12ed769ff3d,Rest Area,Transportation,Point,2025,https://mapid.co.id/data-catalog/detail/689d5e3d7791c12ed769ff3d
120,689d5edc7791c12ed769ff4b,Stasiun,Transportation,Point,2024,https://mapid.co.id/data-catalog/detail/689d5edc7791c12ed769ff4b
121,689d5f54f666afe93787d887,Terminal,Transportation,Point,2024,https://mapid.co.id/data-catalog/detail/689d5f54f666afe93787d887
122,689d4b887791c12ed769f433,Transportasi,Transportation,Point,2025,https://mapid.co.id/data-catalog/detail/689d4b887791c12ed769f433
123,68a7cc8b56e8afeaaa430e75,Perguruan Tinggi,Education,Point,2025,https://mapid.co.id/data-catalog/detail/68a7cc8b56e8afeaaa430e75
124,68a6a39f8e7b033391e03b52,Organisasi Pemuda,Social,Point,2025,https://mapid.co.id/data-catalog/detail/68a6a39f8e7b033391e03b52
125,68a6905656e8afeaaa42a40e,Villa,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a6905656e8afeaaa42a40e
126,68a6917c56e8afeaaa42a417,Wisma,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a6917c56e8afeaaa42a417
127,68a72c158e7b033391e09d42,Indeks Ketahanan Pangan,Social,Polygon,2024,https://mapid.co.id/data-catalog/detail/68a72c158e7b033391e09d42
128,68a6f9a756e8afeaaa4304af,Toko Perlengkapan Bayi,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a6f9a756e8afeaaa4304af
129,68a69fc28e7b033391e03920,Komunitas dan Organisasi,Social,Point,2025,https://mapid.co.id/data-catalog/detail/68a69fc28e7b033391e03920
130,68a6a03e56e8afeaaa42b140,Komunitas Lingkungan,Social,Point,2025,https://mapid.co.id/data-catalog/detail/68a6a03e56e8afeaaa42b140
131,68a6a2f98e7b033391e03b2c,Organisasi Amal,Social,Point,2025,https://mapid.co.id/data-catalog/detail/68a6a2f98e7b033391e03b2c
132,68a7d2388e7b033391e0a8cd,SMP/MTS,Education,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d2388e7b033391e0a8cd
133,68a6a43156e8afeaaa42b2de,Organisasi Kesehatan,Social,Point,2025,https://mapid.co.id/data-catalog/detail/68a6a43156e8afeaaa42b2de
134,68a6a5618e7b033391e03baf,Partai Politik Daerah Istimewa Aceh,Social,Point,2025,https://mapid.co.id/data-catalog/detail/68a6a5618e7b033391e03baf
135,68a6a56e8e7b033391e03bcc,Menara SUTET,Telecommunication,Point,2025,https://mapid.co.id/data-catalog/detail/68a6a56e8e7b033391e03bcc
136,68a6a79d8e7b033391e03c3d,Menara BTS,Telecommunication,Point,2025,https://mapid.co.id/data-catalog/detail/68a6a79d8e7b033391e03c3d
137,68a6c13e8e7b033391e05f1f,Telekomunikasi,Telecommunication,Point,2025,https://mapid.co.id/data-catalog/detail/68a6c13e8e7b033391e05f1f
138,68a6d0788e7b033391e07f4f,Partai Politik,Social,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d0788e7b033391e07f4f
139,68a6d24c8e7b033391e08667,Toko Kelontong,Economy,Point,2025,https://mapid.co.id/data-catalog/detail/68a6d24c8e7b033391e08667
140,68a68e6f56e8afeaaa42a158,Motel,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a68e6f56e8afeaaa42a158
141,68a7d18056e8afeaaa43120a,SMK/MAK,Education,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d18056e8afeaaa43120a
142,68a68d9556e8afeaaa429f50,Penginapan Lainnya,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a68d9556e8afeaaa429f50
143,68a7d48b56e8afeaaa431488,Yayasan,Education,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d48b56e8afeaaa431488
144,68a68ce78e7b033391e023b1,Hotel,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a68ce78e7b033391e023b1
145,68a68c608e7b033391e023a3,Kos,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a68c608e7b033391e023a3
146,68a68acd56e8afeaaa429f3f,Hostel,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a68acd56e8afeaaa429f3f
147,68a68a5356e8afeaaa429f36,Guesthouse,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a68a5356e8afeaaa429f36
148,68a689218e7b033391e0238b,Apartemen [Hotel dan Penginapan],"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a689218e7b033391e0238b
149,68a688a68e7b033391e02382,Hotel dan Penginapan,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a688a68e7b033391e02382
150,68a68e058e7b033391e0256e,Losmen,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a68e058e7b033391e0256e
151,68a7d0cc8e7b033391e0a86e,SMA/MA,Education,Point,2025,https://mapid.co.id/data-catalog/detail/68a7d0cc8e7b033391e0a86e
152,68a68fe48e7b033391e02984,Penginapan Berbasis Aplikasi,"Art, Entertainment, & Tourism",Point,2025,https://mapid.co.id/data-catalog/detail/68a68fe48e7b033391e02984
153,68a7cfb58e7b033391e0a4dd,SLB,Education,Point,2025,https://mapid.co.id/data-catalog/detail/68a7cfb58e7b033391e0a4dd
154,68a7ce148e7b033391e0a31e,SD/MI,Education,Point,2025,https://mapid.co.id/data-catalog/detail/68a7ce148e7b033391e0a31e
155,68a7cd518e7b033391e0a18d,Prasekolah,Education,Point,2025,https://mapid.co.id/data-catalog/detail/68a7cd518e7b033391e0a18d
156,68a69d328e7b033391e03707,Praktik Dokter Spesialis,Healthcare,Point,2025,https://mapid.co.id/data-catalog/detail/68a69d328e7b033391e03707
157,68a69aa08e7b033391e02d4c,Kesehatan Hewan,Healthcare,Point,2025,https://mapid.co.id/data-catalog/detail/68a69aa08e7b033391e02d4c
158,68a69a0b8e7b033391e02d39,Layanan Masyarakat,Healthcare,Point,2025,https://mapid.co.id/data-catalog/detail/68a69a0b8e7b033391e02d39
159,68a6993d56e8afeaaa42a78c,Laboratorium Medis,Healthcare,Point,2025,https://mapid.co.id/data-catalog/detail/68a6993d56e8afeaaa42a78c
160,68a698c056e8afeaaa42a77e,Klinik,Healthcare,Point,2025,https://mapid.co.id/data-catalog/detail/68a698c056e8afeaaa42a77e
161,68c7bd51a59d77c611f1b9c4,Indeks Ekologi RSEI,Nature and Environment,MultiPolygon,2024,https://mapid.co.id/data-catalog/detail/68c7bd51a59d77c611f1b9c4
162,68a6983856e8afeaaa42a770,Apotek,Healthcare,Point,2023,https://mapid.co.id/data-catalog/detail/68a6983856e8afeaaa42a770
163,68a6975a8e7b033391e02a70,Kesehatan dan Pengobatan,Healthcare,Point,2025,https://mapid.co.id/data-catalog/detail/68a6975a8e7b033391e02a70
